customer_id,name,email,address,phone_number,registration_date,status,product,quantity,price,order_date,shipping_date,payment_method,order_status,last_login,latitude,longitude,transaction_id,ip_address,user_agent
1,Jennifer Arroyo,stephaniebray@example.com,"3661 James Fork
South Elizabethport, AZ 89209",+1-536-659-6730,2022-07-21,active,peace,10,46.18,2024-09-16,2024-12-01,Bank Transfer,Delivered,2024-02-07 15:26:55.765112,-25.877916,-26.056008,12761829-9f35-4fe2-ad28-3254b06edd86,50.194.117.151,Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_5_9; rv:1.9.2.20) Gecko/6356-03-27 07:07:25.880188 Firefox/4.0
2,Cathy Cervantes,parksjonathon@example.net,"3121 Natalie Landing Suite 746
East Kellie, WI 40576",964-758-4817,2023-02-21,active,car,5,55.11,2023-04-30,2024-11-25,PayPal,Processing,2024-06-01 20:11:02.877159,-9.987905,97.306890,b74f31fc-214f-4ecc-81cd-ab281d79f53c,146.81.250.120,"Mozilla/5.0 (Linux; Android 4.1) AppleWebKit/535.0 (KHTML, like Gecko) Chrome/32.0.835.0 Safari/535.0"
3,Taylor Oliver,ncooper@example.com,"6622 Scott Burgs
Port Josephville, UT 15869",320.634.3350,2020-12-06,pending,not,10,36.21,2023-10-18,2024-12-08,Bank Transfer,Delivered,2024-02-08 18:51:17.618226,72.7393465,14.743594,0e9d33c5-13f7-4513-9a6e-a5842ec7676d,159.172.215.8,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.1 (KHTML, like Gecko) Chrome/58.0.803.0 Safari/536.1"
4,Terry Wyatt,ronaldthompson@example.net,"2247 Cassandra Prairie
Tammyport, VA 68908",(806)446-1718x395,2022-06-22,pending,network,8,45.85,2022-06-18,2024-11-27,PayPal,Cancelled,2024-03-11 11:56:03.654194,-78.031237,119.924653,8ddbfffc-ca08-4d8c-99b2-234eafbda863,55.102.98.245,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.1; Trident/3.0)
5,William Walker,jasmine45@example.org,"4882 Kyle Groves Apt. 193
West Theresa, NV 80866",(979)325-7591x955,2022-06-10,pending,case,2,37.1,2022-11-25,2024-11-29,PayPal,Delivered,2024-07-02 07:03:31.405018,42.398719,-162.699566,fcdb4a25-2c64-4a5a-a2c2-75a3b01e05e5,49.134.150.122,Mozilla/5.0 (Windows NT 4.0; fy-DE; rv:1.9.2.20) Gecko/6039-12-20 16:21:31.172012 Firefox/4.0
6,Mary Mcdonald,garrisonamber@example.org,"7036 Walton Dam Suite 192
West Brian, WY 18962",(712)682-3899,2022-07-19,pending,rule,8,71.43,2024-11-04,2024-12-04,PayPal,Cancelled,2024-09-22 04:41:10.416643,-18.0202005,121.838786,3ea08475-b073-4135-9eec-4cac80f0377a,54.59.227.124,Opera/9.94.(X11; Linux i686; it-IT) Presto/2.9.183 Version/12.00
7,Carrie Miller,villarrealshelly@example.net,"1474 Winters Burgs
Danielberg, RI 13267",3428057830,2021-10-11,pending,grow,2,92.6,2024-10-29,2024-12-16,Credit Card,Shipped,2024-08-04 14:30:12.363310,31.998559,161.753129,0bad4871-fbe2-42f6-b598-2d0bec120b14,178.212.229.41,Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 4.0; Trident/4.0)
8,Jose Russell,stephenpowell@example.com,"9461 Moody Creek Apt. 054
Jeanton, MS 12424",001-286-885-9127x69623,2023-01-06,inactive,available,10,31.5,2023-03-14,2024-12-19,PayPal,Delivered,2024-09-13 14:24:28.392807,24.3407155,-87.177103,4c97be53-f2d9-418c-bc81-c785f2059760,197.71.188.134,Opera/9.87.(Windows 95; nr-ZA) Presto/2.9.167 Version/12.00
9,Maria Martin,rebecca00@example.com,"070 Anna Crossing
East Emilyhaven, IL 61053",241-567-4147x23649,2022-05-26,pending,certainly,2,26.73,2024-09-26,2024-12-03,Credit Card,Shipped,2024-01-11 05:54:24.493519,24.5393715,32.591832,5339339f-d16d-4112-8c0a-a32c8ca9bc4c,112.162.15.7,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/55.0.890.0 Safari/536.2"
10,Tina Miller,johnwyatt@example.com,"9239 Flores Islands Apt. 947
North Jonathonberg, CA 07318",001-765-355-2149,2023-11-22,inactive,meet,7,31.21,2023-06-11,2024-12-08,PayPal,Shipped,2023-12-23 11:39:32.751437,-81.5108115,-8.818249,20975d7c-f39d-4de4-8439-4f983845f062,57.247.250.12,Opera/9.13.(Windows 98; ia-FR) Presto/2.9.160 Version/10.00
